system:index,16924_01_Chirchik,16924_02_Chirchik,16924_03_Chirchik,16924_04_Chirchik,16924_05_Chirchik,16924_06_Chirchik,16924_07_Chirchik,16924_08_Chirchik,16924_09_Chirchik,16924_10_Chirchik,16936_01_Inflow Toktogul,16936_02_Inflow Toktogul,16936_03_Inflow Toktogul,16936_04_Inflow Toktogul,16936_05_Inflow Toktogul,16936_06_Inflow Toktogul,16936_07_Inflow Toktogul,16936_08_Inflow Toktogul,16936_09_Inflow Toktogul,16936_10_Inflow Toktogul,16938_01_Karadarya,16938_02_Karadarya,16938_03_Karadarya,16938_04_Karadarya,16938_05_Karadarya,16938_06_Karadarya,16938_07_Karadarya,16938_08_Karadarya,16938_09_Karadarya,16938_10_Karadarya,17089_01_Vakhsh,17089_02_Vakhsh,17089_03_Vakhsh,17089_04_Vakhsh,17089_05_Vakhsh,17089_06_Vakhsh,17089_07_Vakhsh,17089_08_Vakhsh,17089_09_Vakhsh,17089_10_Vakhsh,17137_01_Kofarnikhan,17137_02_Kofarnikhan,17137_03_Kofarnikhan,17137_04_Kofarnikhan,17137_05_Kofarnikhan,17137_06_Kofarnikhan,17137_07_Kofarnikhan,17137_08_Kofarnikhan,17137_09_Kofarnikhan,17137_10_Kofarnikhan,17461_01_Zeravshan,17461_02_Zeravshan,17461_03_Zeravshan,17461_04_Zeravshan,17461_05_Zeravshan,17461_06_Zeravshan,17461_07_Zeravshan,17461_08_Zeravshan,17461_09_Zeravshan,17461_10_Zeravshan,Year-Month,.geo
36,0.046519525,0.058743633,0.126344086,0.086290323,0.20094086,0.223089983,0.55006284,1.928135937,5.898826979,16.26135925,0.189354839,0.26516129,0.267188009,0.321935484,0.217741935,0.911094735,0.421612903,0.91886608,2.964157706,18.00612903,0.014603137,0.053527118,0.082235348,0.205278592,0.215835777,0.342453917,0.401166781,0.94643944,2.112071832,16.54590571,0.247741935,0.101290323,0.193037906,1.215058651,2.686306781,7.807419355,17.45845552,28.96839361,39.68340539,60.98387097,0,0,0,0.009487666,0.034493772,0.136200717,0.332822852,0.636672894,4.063887198,26.74650271,0.035346603,0.082437276,0.252688172,0.394230769,0.528094258,1.030967742,2.860322581,8.233377222,18.57464733,38.12644058,2005-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
37,0.063157895,0.116129032,0.190262843,0.467741935,0.196908602,0.257385399,0.541684122,1.001662787,2.046594982,10.98717949,0.144193548,0.191935484,0.226783969,0.662903226,0.388387097,2.500100806,1.99483871,3.211469534,6.622352558,18.98354839,0.209557945,0.081176888,0.145842799,0.295387897,0.518475073,0.482142857,0.719286205,1.325319537,1.843698038,10.6780397,0.266129032,0.327419355,0.230694037,0.758064516,1.268597762,2.41,8.809058325,19.19485174,31.79780512,56.92612903,0,0,0,0,0.026189716,0.166177908,0.364288042,0.742875039,1.322884967,10.02076014,0.082017845,0.221326165,0.549968374,0.626240695,0.826355525,1.136129032,1.673870968,4.236998025,10.0728026,33.93327819,2005-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
38,0.094736842,0.127017544,0.236419753,0.207916667,0.205902778,0.170877193,0.342857143,0.463917526,1.004713805,10.46837607,0.237666667,0.193666667,0.24983165,0.432333333,0.865,2.769182375,3.060333333,4.998316498,9.276430976,24.209,0.22037037,0.107692308,0.168075117,0.319283747,0.380606061,0.628869048,1.303546099,1.500628931,3.290034364,14.32660256,0.122333333,0.072666667,0.106397306,0.616,0.774489796,1.413,6.94040404,18.51818182,29.18281787,54.99033333,0,0,0,0,0.007590759,0.015488215,0.069023569,0.097411003,0.33490566,7.497359736,0.016312057,0.075308642,0.423202614,0.357692308,0.35035461,0.764666667,1.153666667,3.504421769,9.811009174,36.36182336,2005-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
41,0.127996307,0.199298246,0.44537037,0.548333333,0.824652778,0.590175439,1.930902431,6.912723241,18.2998705,37.08037135,0.044,0.122333333,0.253535354,0.303666667,0.956588116,2.545299145,4.011772674,8.836435786,19.53156103,40.11825541,0.103069273,0.033333333,0.191549296,0.258953168,0.305757576,0.299107143,0.659219858,2.448113208,9.521305842,34.39134615,0.259666667,0.147,0.33476431,2.39797619,6.258333333,14.06327672,32.08148652,38.24463266,47.46838488,63.85566667,0,0,0,0.004575163,0.026072607,0.065993266,0.301121229,0.343622936,5.501727039,37.85806558,0.063120567,0.12962963,0.593137255,0.462614469,0.479105292,2.308216092,6.810763218,16.06380228,31.79178482,53.2629435,2006-06,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
42,0.094397284,0.110016978,0.155017921,0.120564516,0.277889785,0.351443124,1.541265186,3.921849019,7.149560117,21.40198511,0.055806452,0.071290323,0.181818182,0.144193548,0.260967742,1.340967742,0.674193548,1.681655262,4.211143695,19.86645161,0,0.016660759,0.026805997,0.079978672,0.154252199,0.242223502,0.173301304,0.626293366,2.979048886,17.81637717,0.290645161,0.090645161,0.207233627,0.611290323,1.184660961,2.881935484,12.28641251,23.87031606,35.79913535,61.80290323,0,0,0,0,0.003832641,0.017595308,0.250570218,0.156279361,0.723371881,11.74353242,0.005490734,0.048088411,0.14516129,0.202233251,0.150308854,0.330967742,0.81,3.620144832,11.48179935,38.43424318,2006-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
43,0.006791171,0.002716469,0.009557945,0.036290323,0.059139785,0.020033956,0.015500628,0.075490522,0.209188661,4.905707196,0.064516129,0.07483871,0.201694363,0.173225806,0.331290323,1.270477419,0.415806452,0.668621701,0.861844249,10.80580645,0.072049648,0,0.035438437,0.063716342,0.105865103,0.080357143,0.20247083,0.363664029,0.798470236,6.974565757,0.216451613,0.022580645,0.056370153,0.34483871,0.396971692,0.634193548,4.546432063,13.54708374,23.31925507,49.93612903,0,0,0,0,0,0.008797654,0.015314435,0.098026934,0.131466829,3.985946982,0,0.008960573,0.13314358,0.111972705,0.237817433,0.401290323,0.548064516,1.317314022,3.998520272,23.28342983,2006-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000004f,0.039388795,0.032597623,0.108422939,0.121370968,0.132392473,0.055348048,0.129032258,0.3408713,0.636689475,8.58974359,0.023225806,0.079677419,0.164874552,0.126129032,0.22516129,0.902361751,0.339354839,0.590094493,0.902074509,11.09774194,0,0.013115916,0.00863244,0.05785124,0.060997067,0.213133641,0.177762526,0.337492392,0.745261058,6.20719603,0.198709677,0.023548387,0.147279244,0.367096774,0.586570112,1.020967742,6.457152167,16.80123819,28.79580978,56.94548387,0,0,0,0.003478811,0.007026509,0.022482893,0.045943304,0.10021923,0.332014607,6.087511977,0.017844887,0.072580645,0.137887413,0.100186104,0.238846946,0.381612903,0.496451613,2.010862409,6.63125185,29.99062586,2007-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
50,0.012280702,0.028421053,0.067283951,0.08,0.132638889,0.164561404,0.828571429,1.141237113,2.650841751,8.952136752,0.171333333,0.126333333,0.0996633,0.461,0.711,2.482769955,2.678666667,4.425925926,5.972727273,19.759,0.00308642,0.038827839,0.046948357,0.120110193,0.154242424,0.132440476,0.29858156,0.514465409,2.109965636,10.53269231,0.117333333,0.061,0.049494949,0.534333333,0.987414966,1.761666667,5.787542088,16.71683502,28.00103093,55.07366667,0,0,0,0,0,0.023905724,0.117508418,0.13592233,0.474842767,5.527722772,0,0.005246914,0.098039216,0.174358974,0.188297872,0.485666667,0.770333333,2.296938776,6.566972477,29.5048433,2007-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
59,0.006666667,0.14245614,0.161419753,0.152916667,0.228125,0.303157895,0.692207792,2.179037801,6.861952862,21.87435897,0.149,0.159,0.249158249,0.541,0.179333333,1.292333333,0.774333333,1.740740741,3.847474747,19.816,9.26E-04,0.004761905,0.1,0.260055096,0.196060606,0.344047619,0.579432624,1.046540881,2.756701031,16.46794872,0.163333333,0.074,0.213131313,1.251333333,3.220408163,7.022,19.402849,30.3989899,41.43230241,62.629,0,0,0,0,0.011881188,0.061952862,0.114814815,0.238187702,1.993081761,21.61287129,0,0.014814815,0.155228758,0.3,0.378723404,1.196,3.258,9.16292517,20.98073394,42.33447293,2008-06,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000005a,0.20237691,0.288964346,0.259259259,0.135483871,0.244623656,0.59524618,0.360703812,0.631526438,0.963180189,6.129032258,0.201935484,0.218064516,0.462039752,0.392580645,0.199677419,1.481053763,0.438709677,0.932877159,1.14532421,13.18612903,0.098039216,0.020205601,0.029532031,0.210877099,0.134017595,0.297235023,0.285518188,0.377662812,0.963751247,6.63926799,0.108387097,0.118064516,0.11502118,0.620645161,0.640223831,1.004193548,5.538937765,15.09612252,25.96873961,54.03064516,0,0,0.042580645,0,0.074736506,0.103942652,0.284457478,0.34011901,0.722154595,5.192590227,0.010638298,0.186678614,0.344718533,0.356389578,0.393617021,0.712903226,0.798387097,2.580974325,6.438591299,27.44968293,2008-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
66,0.093532953,0.091341256,0.125448029,0.202016129,0.486895161,0.505602716,1.651445329,6.465890699,19.56432063,39.98009374,0.166774194,0.137419355,0.189178524,0.290236559,0.692324805,2.355103658,3.038215054,6.779971761,15.54746563,35.79687656,0.008960573,0.10740872,0.168559746,0.347107438,0.24516129,0.352534562,0.772325173,2.830741355,7.658796142,28.97707045,0.176774194,0.165483871,0.433691756,2.937673835,7.319641682,16.08354839,32.7178427,41.1736972,52.66268698,69.72871586,0,0,0,0,0.002555094,0.032583904,0.194851743,0.680551206,8.34877402,44.34976088,0.011667811,0.129032258,0.190702087,0.29528536,0.41426447,2.515483871,8.818064516,19.67108295,36.7222461,55.94067422,2009-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
67,0.214827391,0.145670628,0.045997611,0.131048387,0.102150538,0.193887946,0.375366569,0.838709677,3.236675511,16.54094293,0.246774194,0.136129032,0.260345389,0.553894009,0.782365221,1.478792441,0.812437523,1.750174274,3.677302267,21.68532892,0.302203637,0.06628855,0.084052703,0.256198347,0.314956012,0.373099078,0.345916266,0.855122743,2.190123046,15.85933373,0.250645161,0.110645161,0.129515399,0.573548387,1.543810583,3.450344086,12.47655045,23.84269577,36.52790156,63.1098172,0,0,0,0,0.002874481,0.055066797,0.078853047,0.317898682,1.046945593,14.70483706,0.019560741,0.080645161,0.161290323,0.246277916,0.287859104,0.437741935,0.940967742,4.351217907,12.92638099,36.15577612,2009-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
68,0.349473684,0.12877193,0.195061728,0.249583333,0.15625,0.488421053,1.201731602,4.286254296,13.22962963,31.45897436,0.080666667,0.087333333,0.362626263,0.898666667,1.961,5.1192,7.855,15.5983165,27.14814815,47.69579487,0.040432099,0.404761905,0.081220657,0.397520661,0.594242424,0.588095238,1.574113475,3.071383648,11.24810997,35.08080297,0.432333333,0.590333333,0.820538721,1.5,2.69829932,6.491333333,21.29360269,37.00875421,49.59621993,64.5,0,0,0,0,0.020462046,0.208080808,0.458249158,0.95631068,1.507232704,12.1009901,0.020567376,0.133950617,0.434640523,0.392628205,0.784042553,1.256,1.965333333,5.506462585,13.4587156,41.81054131,2009-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
72,0.103599321,0.206791171,0.277479092,0.502016129,0.593077957,0.575551783,1.274821952,3.280013302,10.44379277,30.14888337,0.222258065,0.209032258,0.287390029,0.159032258,0.525806452,1.701549767,1.311612903,2.304659498,7.208862822,27.54548387,0.117249619,0.079758951,0.031349387,0.1626233,0.305571848,0.57171659,0.84728895,3.074558734,9.524442966,31.07692308,0.240967742,0.297419355,0.45259042,1.665483871,4.486504279,11.24451613,28.30368198,39.47279244,54.34685733,70.97612903,0,0,0,0.001581278,0.012775471,0.104268491,0.226132291,0.512683996,3.154595253,27.98211434,0.037062457,0.033452808,0.222960152,0.496588089,0.695607412,1.448387097,3.660322581,10.38347597,24.88398935,49.93217535,2010-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
73,0.007809847,0.029881154,0.089307049,0.25,0.077284946,0.085908319,0.228320067,0.599268374,1.321928967,10.99917287,0.065483871,0.131612903,0.048875855,0.120967742,0.196774194,1.061488834,0.211612903,0.724666015,2.42228739,17.26935484,0.352449223,0.016660759,0.130395275,0.061850173,0.193255132,0.183179724,0.220315717,0.335970785,2.187229797,14.51705955,0.228387097,0.037741935,0.082437276,0.517741935,1.075049375,2.790322581,12.17953731,22.68002607,36.25108081,60.5316129,0,0,0,0,0,0.027696318,0.091886608,0.294080802,0.650030432,9.756307889,0.002059025,0.081242533,0.25711575,0.333746898,0.259780371,0.63516129,1.148064516,3.461487821,10.17519976,35,2010-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
74,0.089824561,0.280350877,0.355246914,0.390416667,0.892013889,2.654385965,8.203463203,11.52817869,20.9040404,32.38290598,0.131666667,0.211666667,1.518518519,3.846333333,5.867,7.339025641,11.24233333,16.27003367,21.35622896,34.47233333,0.438580247,0.043956044,0.08685446,0.526997245,1.244848485,3.26577381,6.241489362,7.464779874,14.12680412,28.12179487,0.183,0.524333333,1.244781145,4.061666667,7.269387755,14.47566667,24.76262626,34.98989899,45.72989691,61.43466667,0,0,0,0.038888889,0.128712871,0.225925926,0.981481481,3.954368932,15.18679245,34.1349835,0.017021277,0.083024691,0.626143791,1.765384615,3.20035461,6.768,11.75,20.62210884,31.46544343,50.27863248,2010-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
75,0.734125637,0.540237691,2.181899642,3.832258065,8.139112903,12.71544992,23.61667365,33.06418357,45.73248615,52.01861042,0.658387097,1.421612903,1.859563376,9.240645161,16.52612903,27.72164516,40.28677419,45.72140762,51.57021831,61.04064516,0.508804737,3.990428926,8.861426624,12.18235137,15.96422287,24.73271889,38.48592999,48.15611686,59.11340206,64.48387097,0.453548387,2.262258065,5.680351906,11.71322581,21.15931534,34.21935484,45.39100684,50.49723037,55.31500573,66.6716085,0,0,0,0.154332701,0.240178857,0.844248941,1.726621049,4.270278735,17.94187462,47.17757905,0.22134523,0.180107527,0.695129665,2.206265509,3.930679478,8.309354839,17.58954094,28.2481896,40.1891092,59.13176893,2010-10,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
